"","Year","Region","Region_alt","Region_type","Strata_included","Strata_excluded","Index","Index_q_0.025","Index_q_0.05","Index_q_0.25","Index_q_0.75","Index_q_0.95","Index_q_0.975","obs_mean","nrts","nnzero","nrts_total","backcast_flag","scale","model","species"
"38",2003,"34_-83","34_-83","stratum","34_-83","",0.007046525,0.001409373,0.001896382,0.0042894375,0.011460025,0.022249175,0.0273810275,0.111111111111111,2,1,2,1,"stratum","first_difference_Spatial","Golden-winged Warbler"
"39",2004,"34_-83","34_-83","stratum","34_-83","",0.004914715,0.000971271275,0.0013025345,0.0029473425,0.0080138875,0.01662989,0.0201618325,0,2,0,2,1,"stratum","first_difference_Spatial","Golden-winged Warbler"
"40",2005,"34_-83","34_-83","stratum","34_-83","",0.00400962,0.000739866125,0.0009753543,0.0023433225,0.0064629225,0.01299115,0.016582915,0,2,0,2,1,"stratum","first_difference_Spatial","Golden-winged Warbler"
"41",2006,"34_-83","34_-83","stratum","34_-83","",0.00397085,0.0007151061,0.00098298505,0.00237643,0.00668912,0.0137651,0.016994195,0,1,0,2,1,"stratum","first_difference_Spatial","Golden-winged Warbler"
"42",2007,"34_-83","34_-83","stratum","34_-83","",0.003167175,0.00056314685,0.00077303545,0.001861,0.005403195,0.011012485,0.0139918925,0,2,0,2,1,"stratum","first_difference_Spatial","Golden-winged Warbler"
"43",2008,"34_-83","34_-83","stratum","34_-83","",0.00243803,0.00043883585,0.0005836016,0.00140102,0.0041715025,0.0083519155,0.010493785,0,2,0,2,1,"stratum","first_difference_Spatial","Golden-winged Warbler"
"44",2009,"34_-83","34_-83","stratum","34_-83","",0.002184425,0.0003802784,0.0005157179,0.001290675,0.0035858675,0.007196833,0.00868101575000001,0,2,0,2,1,"stratum","first_difference_Spatial","Golden-winged Warbler"
"45",2010,"34_-83","34_-83","stratum","34_-83","",0.002301255,0.000409639275,0.00053386375,0.001352525,0.0037725475,0.0080382345,0.01007078,0,2,0,2,1,"stratum","first_difference_Spatial","Golden-winged Warbler"
"46",2011,"34_-83","34_-83","stratum","34_-83","",0.003004995,0.0005099866,0.0007019645,0.001730995,0.0049597425,0.010370145,0.01340617,0,2,0,2,1,"stratum","first_difference_Spatial","Golden-winged Warbler"
"47",2012,"34_-83","34_-83","stratum","34_-83","",0.00240191,0.0004064525,0.00054830685,0.00140237,0.0040336675,0.00864790099999999,0.01094064,0,2,0,2,1,"stratum","first_difference_Spatial","Golden-winged Warbler"
"48",2013,"34_-83","34_-83","stratum","34_-83","",0.00229033,0.00036235585,0.0005034372,0.001320855,0.0038117575,0.00834509349999999,0.0110704575,0,1,0,2,1,"stratum","first_difference_Spatial","Golden-winged Warbler"
"49",2014,"34_-83","34_-83","stratum","34_-83","",0.00196271,0.000326406525,0.0004326736,0.001111235,0.0032227625,0.00714923,0.00910879425,0,2,0,2,1,"stratum","first_difference_Spatial","Golden-winged Warbler"
"50",2015,"34_-83","34_-83","stratum","34_-83","",0.002443475,0.000397315625,0.00052972985,0.0013859925,0.0040663625,0.00900558,0.0116441375,0,2,0,2,1,"stratum","first_difference_Spatial","Golden-winged Warbler"
"51",2016,"34_-83","34_-83","stratum","34_-83","",0.00236981,0.000386197675,0.0005045401,0.001343005,0.0040701675,0.00915943399999999,0.0116628575,0,2,0,2,1,"stratum","first_difference_Spatial","Golden-winged Warbler"
"52",2017,"34_-83","34_-83","stratum","34_-83","",0.00213288,0.00034518035,0.0004498374,0.001204645,0.003653205,0.00809162149999998,0.010452905,0,1,0,2,1,"stratum","first_difference_Spatial","Golden-winged Warbler"
"53",2018,"34_-83","34_-83","stratum","34_-83","",0.00189178,0.000287743575,0.00041333045,0.001061495,0.0033563275,0.00757946949999999,0.00973585050000001,0,1,0,2,1,"stratum","first_difference_Spatial","Golden-winged Warbler"
"54",2019,"34_-83","34_-83","stratum","34_-83","",0.001909725,0.00029829055,0.00040833355,0.00106061,0.003385915,0.0075854135,0.0099856155,0,1,0,2,1,"stratum","first_difference_Spatial","Golden-winged Warbler"
"55",2020,"34_-83","34_-83","stratum","34_-83","",0.00194083,0.00030820355,0.00040836835,0.001059355,0.00352383,0.00791788649999999,0.0105877025,0,0,0,2,1,"stratum","first_difference_Spatial","Golden-winged Warbler"
"56",2021,"34_-83","34_-83","stratum","34_-83","",0.00178031,0.000256223825,0.000363715,0.00096971825,0.0032124675,0.0073691505,0.0098940185,0,1,0,2,1,"stratum","first_difference_Spatial","Golden-winged Warbler"
"57",1966,"34_-84","34_-84","stratum","34_-84","",0.1317545,0.0201997675,0.02651605,0.0657212,0.2648235,0.7673785,1.0532465,0,0,0,1,1,"stratum","first_difference_Spatial","Golden-winged Warbler"
"58",1967,"34_-84","34_-84","stratum","34_-84","",0.1157245,0.0196430225,0.025471895,0.0596758,0.23861325,0.639153199999999,0.89435175,0,0,0,1,1,"stratum","first_difference_Spatial","Golden-winged Warbler"
"59",1968,"34_-84","34_-84","stratum","34_-84","",0.1108015,0.01854486,0.024246345,0.05688085,0.213847,0.569036699999999,0.76777035,0,0,0,1,1,"stratum","first_difference_Spatial","Golden-winged Warbler"
"60",1969,"34_-84","34_-84","stratum","34_-84","",0.122647,0.0210693825,0.028372655,0.062938075,0.23768325,0.63919635,0.92857985,0,0,0,1,1,"stratum","first_difference_Spatial","Golden-winged Warbler"
"61",1970,"34_-84","34_-84","stratum","34_-84","",0.120977,0.022056475,0.02725762,0.063932075,0.23262475,0.603874699999999,0.828794875,0,0,0,1,1,"stratum","first_difference_Spatial","Golden-winged Warbler"
"62",1971,"34_-84","34_-84","stratum","34_-84","",0.1947315,0.03395541,0.04536813,0.10524875,0.37098675,0.94070475,1.27846175,0,0,0,1,1,"stratum","first_difference_Spatial","Golden-winged Warbler"
"63",1972,"34_-84","34_-84","stratum","34_-84","",0.1671405,0.031564795,0.03956718,0.093552275,0.316916,0.800149949999999,1.053402,0,0,0,1,1,"stratum","first_difference_Spatial","Golden-winged Warbler"
"64",1973,"34_-84","34_-84","stratum","34_-84","",0.215977,0.0424797175,0.055692055,0.117661,0.394426,0.994047599999999,1.35538075,0,0,0,1,1,"stratum","first_difference_Spatial","Golden-winged Warbler"
"65",1974,"34_-84","34_-84","stratum","34_-84","",0.142114,0.03078387,0.0386702,0.080185625,0.2601145,0.660463649999999,0.879941875,0,0,0,1,1,"stratum","first_difference_Spatial","Golden-winged Warbler"
"66",1975,"34_-84","34_-84","stratum","34_-84","",0.1295775,0.02793865,0.03600596,0.073100275,0.239417,0.571757149999999,0.78730235,0.142857142857143,1,1,1,1,"stratum","first_difference_Spatial","Golden-winged Warbler"
"67",1976,"34_-84","34_-84","stratum","34_-84","",0.1292105,0.0300220025,0.037175465,0.0749277,0.24077175,0.576421999999999,0.808379200000001,0.285714285714286,1,1,1,1,"stratum","first_difference_Spatial","Golden-winged Warbler"
"68",1977,"34_-84","34_-84","stratum","34_-84","",0.105798,0.0246520225,0.030897085,0.0625878,0.198555,0.493575599999999,0.656616425,0,1,0,1,1,"stratum","first_difference_Spatial","Golden-winged Warbler"
"69",1978,"34_-84","34_-84","stratum","34_-84","",0.1058105,0.023544605,0.029271515,0.06048315,0.19130975,0.47004095,0.657823075,0,0,0,1,1,"stratum","first_difference_Spatial","Golden-winged Warbler"
"70",1979,"34_-84","34_-84","stratum","34_-84","",0.09016625,0.0207785775,0.025581615,0.05168855,0.1595675,0.40330225,0.557591725,0,1,0,1,1,"stratum","first_difference_Spatial","Golden-winged Warbler"
"71",1980,"34_-84","34_-84","stratum","34_-84","",0.06067195,0.013616945,0.017292895,0.035262625,0.10810325,0.2662294,0.3617701,0,1,0,1,1,"stratum","first_difference_Spatial","Golden-winged Warbler"
"72",1981,"34_-84","34_-84","stratum","34_-84","",0.0323995,0.0072408515,0.009106177,0.01839845,0.05757305,0.1471401,0.190434475,0.142857142857143,1,1,1,1,"stratum","first_difference_Spatial","Golden-winged Warbler"
"73",1982,"34_-84","34_-84","stratum","34_-84","",0.02477165,0.00545615025,0.0069438535,0.01415395,0.0448973,0.1072232,0.148705875,0,1,0,1,1,"stratum","first_difference_Spatial","Golden-winged Warbler"
"74",1983,"34_-84","34_-84","stratum","34_-84","",0.02551095,0.005576614,0.006911231,0.014747975,0.0464354,0.1136744,0.146987475,0.142857142857143,1,1,1,1,"stratum","first_difference_Spatial","Golden-winged Warbler"
"75",1984,"34_-84","34_-84","stratum","34_-84","",0.0377491,0.008316276,0.01040153,0.021591775,0.0692888,0.16245325,0.2285715,0,1,0,1,1,"stratum","first_difference_Spatial","Golden-winged Warbler"
"76",1985,"34_-84","34_-84","stratum","34_-84","",0.02822575,0.00589888825,0.0076932425,0.016274475,0.0507037,0.125231,0.1648768,0,1,0,1,1,"stratum","first_difference_Spatial","Golden-winged Warbler"
"77",1986,"34_-84","34_-84","stratum","34_-84","",0.02720145,0.005767926,0.0073742095,0.015706975,0.0485345,0.12157955,0.164297025,0,1,0,1,1,"stratum","first_difference_Spatial","Golden-winged Warbler"
"78",1987,"34_-84","34_-84","stratum","34_-84","",0.02762305,0.0059835035,0.0075555695,0.015799075,0.04911945,0.11549155,0.160707375,0,1,0,1,1,"stratum","first_difference_Spatial","Golden-winged Warbler"
"79",1988,"34_-84","34_-84","stratum","34_-84","",0.02906825,0.00594323575,0.0076634695,0.016635275,0.051607975,0.119558,0.163975825,0.142857142857143,1,1,1,1,"stratum","first_difference_Spatial","Golden-winged Warbler"
"80",1989,"34_-84","34_-84","stratum","34_-84","",0.02331795,0.0046925785,0.0060163255,0.013271875,0.04129125,0.0968910049999999,0.132204875,0,1,0,1,1,"stratum","first_difference_Spatial","Golden-winged Warbler"
"81",1990,"34_-84","34_-84","stratum","34_-84","",0.01931755,0.0038154475,0.0048904965,0.010675675,0.034826625,0.0797254799999998,0.106933375,0,0,0,1,1,"stratum","first_difference_Spatial","Golden-winged Warbler"
"82",1991,"34_-84","34_-84","stratum","34_-84","",0.0134784,0.0026813485,0.003366936,0.0074789325,0.02410875,0.0557393449999999,0.07188821,0,1,0,1,1,"stratum","first_difference_Spatial","Golden-winged Warbler"
"83",1992,"34_-84","34_-84","stratum","34_-84","",0.0129948,0.002522942,0.0033853505,0.0073253725,0.0233288,0.05390497,0.068704785,0,1,0,1,1,"stratum","first_difference_Spatial","Golden-winged Warbler"
"84",1993,"34_-84","34_-84","stratum","34_-84","",0.0109495,0.00210357025,0.0027112455,0.0059787575,0.0191349,0.04423258,0.057293525,0,1,0,1,1,"stratum","first_difference_Spatial","Golden-winged Warbler"
"85",1994,"34_-84","34_-84","stratum","34_-84","",0.01049465,0.00196307325,0.002563769,0.0059233325,0.018811425,0.04491407,0.058082205,0,1,0,1,1,"stratum","first_difference_Spatial","Golden-winged Warbler"
"86",1995,"34_-84","34_-84","stratum","34_-84","",0.00917762,0.0016829645,0.0022987405,0.0051807775,0.0169184,0.039261005,0.0520698975,0,0,0,1,1,"stratum","first_difference_Spatial","Golden-winged Warbler"
"87",1996,"34_-84","34_-84","stratum","34_-84","",0.009671615,0.0018011205,0.002248805,0.005337955,0.0177726,0.041982325,0.0554688675,0,1,0,1,1,"stratum","first_difference_Spatial","Golden-winged Warbler"
"88",1997,"34_-84","34_-84","stratum","34_-84","",0.011818,0.0020480265,0.002746695,0.006528475,0.0218917,0.0507418899999999,0.0658205775,0,0,0,1,1,"stratum","first_difference_Spatial","Golden-winged Warbler"
"89",1998,"34_-84","34_-84","stratum","34_-84","",0.01076185,0.00190837575,0.0023671355,0.00579845,0.01994165,0.0470584,0.0618357750000001,0,1,0,1,1,"stratum","first_difference_Spatial","Golden-winged Warbler"
"90",1999,"34_-84","34_-84","stratum","34_-84","",0.00619178,0.00100074125,0.001356299,0.0032941225,0.0114552,0.02711712,0.035910045,0,0,0,1,1,"stratum","first_difference_Spatial","Golden-winged Warbler"
"91",2000,"34_-84","34_-84","stratum","34_-84","",0.005722535,0.000914209675,0.001236275,0.00298374,0.0107037,0.0257666249999999,0.0335064725,0,1,0,1,1,"stratum","first_difference_Spatial","Golden-winged Warbler"
"92",2001,"34_-84","34_-84","stratum","34_-84","",0.004561445,0.0007282332,0.0009641781,0.00235986,0.008779955,0.02052959,0.02727289,0,1,0,1,1,"stratum","first_difference_Spatial","Golden-winged Warbler"
"93",2002,"34_-84","34_-84","stratum","34_-84","",0.00411921,0.00059120935,0.00084219025,0.0020909,0.00781146,0.0195208,0.0263683925,0,1,0,1,1,"stratum","first_difference_Spatial","Golden-winged Warbler"
"94",2003,"34_-84","34_-84","stratum","34_-84","",0.003289185,0.000469491075,0.00063730255,0.001695325,0.00640832,0.01618415,0.0203569375,0,0,0,1,1,"stratum","first_difference_Spatial","Golden-winged Warbler"
"95",2004,"34_-84","34_-84","stratum","34_-84","",0.00232312,0.00031644685,0.00042509205,0.0011776375,0.004554755,0.01147683,0.0151150225,0,0,0,1,1,"stratum","first_difference_Spatial","Golden-winged Warbler"
"96",2005,"34_-84","34_-84","stratum","34_-84","",0.00190983,0.000234199575,0.0003395226,0.000941667,0.0036069525,0.00946710299999999,0.0120767675,0,0,0,1,1,"stratum","first_difference_Spatial","Golden-winged Warbler"
"97",2006,"34_-84","34_-84","stratum","34_-84","",0.00192654,0.00024277735,0.000345638,0.00093996075,0.0038384375,0.00980731299999999,0.01379045,0,0,0,1,1,"stratum","first_difference_Spatial","Golden-winged Warbler"
"98",2007,"34_-84","34_-84","stratum","34_-84","",0.00152157,0.00018704445,0.0002594095,0.000746798,0.0030328225,0.008100464,0.011013135,0,0,0,1,1,"stratum","first_difference_Spatial","Golden-winged Warbler"
"99",2008,"34_-84","34_-84","stratum","34_-84","",0.00115949,0.00014047545,0.00019498815,0.00055812575,0.0023428125,0.0063607335,0.00824386350000001,0,0,0,1,1,"stratum","first_difference_Spatial","Golden-winged Warbler"
"100",2009,"34_-84","34_-84","stratum","34_-84","",0.001022685,0.000127426575,0.00017349155,0.000501752,0.002032545,0.0054216935,0.00710188725,0,1,0,1,1,"stratum","first_difference_Spatial","Golden-winged Warbler"
"101",2010,"34_-84","34_-84","stratum","34_-84","",0.00107471,0.000122895325,0.00017069505,0.000516218,0.0021073675,0.00581336699999999,0.00757538275,0,1,0,1,1,"stratum","first_difference_Spatial","Golden-winged Warbler"
"102",2011,"34_-84","34_-84","stratum","34_-84","",0.00132242,0.00015311185,0.0002113517,0.00065353425,0.002674565,0.0073715905,0.00969735375,0,1,0,1,1,"stratum","first_difference_Spatial","Golden-winged Warbler"
"103",2012,"34_-84","34_-84","stratum","34_-84","",0.0009929575,0.0001140864,0.00016136175,0.00048700975,0.0020524825,0.0057207245,0.007497557,0,1,0,1,1,"stratum","first_difference_Spatial","Golden-winged Warbler"
"104",2013,"34_-84","34_-84","stratum","34_-84","",0.0009182615,0.000102352175,0.0001392588,0.0004431805,0.0019173175,0.005089676,0.00697585775,0,1,0,1,1,"stratum","first_difference_Spatial","Golden-winged Warbler"
"105",2014,"34_-84","34_-84","stratum","34_-84","",0.0007837625,8.62365675e-05,0.00012077905,0.0003761705,0.0016196775,0.004471279,0.0060247585,0,1,0,1,1,"stratum","first_difference_Spatial","Golden-winged Warbler"
"106",2015,"34_-84","34_-84","stratum","34_-84","",0.0009745935,0.000102432325,0.00015114265,0.00047976725,0.0019894375,0.005447584,0.007697644,0,1,0,1,1,"stratum","first_difference_Spatial","Golden-winged Warbler"
"107",2016,"34_-84","34_-84","stratum","34_-84","",0.0009161235,9.5889835e-05,0.00013527325,0.000440422,0.0019445575,0.005414485,0.00747846725,0,1,0,1,1,"stratum","first_difference_Spatial","Golden-winged Warbler"
"108",2017,"34_-84","34_-84","stratum","34_-84","",0.0007914155,7.821213e-05,0.00011857845,0.00038483575,0.00170481,0.0046952055,0.00648353875,0,1,0,1,1,"stratum","first_difference_Spatial","Golden-winged Warbler"
"109",2018,"34_-84","34_-84","stratum","34_-84","",0.000710556,7.2146095e-05,0.0001071417,0.0003376,0.001518925,0.004421573,0.005870236,0,1,0,1,1,"stratum","first_difference_Spatial","Golden-winged Warbler"
"110",2019,"34_-84","34_-84","stratum","34_-84","",0.000705721,6.86795125e-05,0.00010132825,0.0003317585,0.001520035,0.00434402,0.0059487135,0,1,0,1,1,"stratum","first_difference_Spatial","Golden-winged Warbler"
"111",2020,"34_-84","34_-84","stratum","34_-84","",0.0006980975,6.70745025e-05,0.00010006674,0.000327382,0.001534145,0.004514903,0.00652511675,0,0,0,1,1,"stratum","first_difference_Spatial","Golden-winged Warbler"
"112",2021,"34_-84","34_-84","stratum","34_-84","",0.0006460335,6.0359655e-05,8.914941e-05,0.00029424475,0.0013990075,0.0043053335,0.00622424925,0,1,0,1,1,"stratum","first_difference_Spatial","Golden-winged Warbler"
"113",1966,"35_-82","35_-82","stratum","35_-82","",0.1304925,0.0333414825,0.041260755,0.0802409,0.2074855,0.44181305,0.540593900000001,0,0,0,2,1,"stratum","first_difference_Spatial","Golden-winged Warbler"
"114",1967,"35_-82","35_-82","stratum","35_-82","",0.1204945,0.033643155,0.04044146,0.076465075,0.18921575,0.36873535,0.477366925,0,0,0,2,1,"stratum","first_difference_Spatial","Golden-winged Warbler"
"115",1968,"35_-82","35_-82","stratum","35_-82","",0.1106505,0.033316365,0.03980545,0.072084575,0.16695875,0.32826635,0.42005455,0.222222222222222,1,1,2,1,"stratum","first_difference_Spatial","Golden-winged Warbler"
"116",1969,"35_-82","35_-82","stratum","35_-82","",0.1195265,0.0387183475,0.044964455,0.079301525,0.17739825,0.3448998,0.4254406,0.222222222222222,1,1,2,1,"stratum","first_difference_Spatial","Golden-winged Warbler"
"117",1970,"35_-82","35_-82","stratum","35_-82","",0.1161425,0.0383354525,0.04637474,0.078035025,0.172751,0.3147999,0.392089775,0,1,0,2,1,"stratum","first_difference_Spatial","Golden-winged Warbler"
"118",1971,"35_-82","35_-82","stratum","35_-82","",0.1836035,0.065867675,0.076515525,0.1256295,0.27125025,0.49735575,0.629466775,0.222222222222222,1,1,2,1,"stratum","first_difference_Spatial","Golden-winged Warbler"
"119",1972,"35_-82","35_-82","stratum","35_-82","",0.1622095,0.0577709625,0.067819115,0.112002,0.23669575,0.42960785,0.53770875,0.666666666666667,1,1,2,1,"stratum","first_difference_Spatial","Golden-winged Warbler"
"120",1973,"35_-82","35_-82","stratum","35_-82","",0.208252,0.077860825,0.089687095,0.14784125,0.301005,0.54306795,0.653113750000001,0.444444444444444,1,1,2,1,"stratum","first_difference_Spatial","Golden-winged Warbler"
"121",1974,"35_-82","35_-82","stratum","35_-82","",0.1436125,0.0536100625,0.06171693,0.100009975,0.208516,0.3683584,0.45169155,1.11111111111111,1,1,2,1,"stratum","first_difference_Spatial","Golden-winged Warbler"
"122",1975,"35_-82","35_-82","stratum","35_-82","",0.128463,0.045727935,0.054539495,0.089753525,0.1828065,0.3211904,0.3913226,0.222222222222222,1,1,2,1,"stratum","first_difference_Spatial","Golden-winged Warbler"
"123",1976,"35_-82","35_-82","stratum","35_-82","",0.125183,0.04633546,0.054385545,0.08806895,0.1796135,0.3123641,0.3782267,0,2,0,2,1,"stratum","first_difference_Spatial","Golden-winged Warbler"
"124",1977,"35_-82","35_-82","stratum","35_-82","",0.105641,0.0390191225,0.045236215,0.0736978,0.15061475,0.2584042,0.306905425,0,2,0,2,1,"stratum","first_difference_Spatial","Golden-winged Warbler"
"125",1978,"35_-82","35_-82","stratum","35_-82","",0.1047045,0.0387529225,0.045459355,0.0735181,0.152603,0.26262825,0.307179375,0,1,0,2,1,"stratum","first_difference_Spatial","Golden-winged Warbler"
"126",1979,"35_-82","35_-82","stratum","35_-82","",0.0931584,0.034612205,0.04070635,0.06592865,0.13438675,0.227828,0.266690775,0,1,0,2,1,"stratum","first_difference_Spatial","Golden-winged Warbler"
